Num,direction,Mileage,Road_Width,Total_Road_Width,Lane_Count,Total_Lanes,Aux_Lane_Count,Main_Lane_Count,Channelized_Area_Width,Inner_Shoulder_Width,Outer_Shoulder_Width,Curvature_Radius,Longitudinal_Slope,Cross_Slope,speed,tti_sipt,tti_sipt_normalized,Has_Ramp,Total_Lane_Width,Total_Shoulder_Width,Lane_Density,Shoulder_Ratio,Effective_Ratio,Curvature_Severity,Pavement_Type_flexible,Pavement_Type_rigid,Channelized_Area_no,Channelized_Area_yes,Inner_Shoulder_no,Inner_Shoulder_yes,Outer_Shoulder_no,Outer_Shoulder_yes,Aux_Lane1_acceleration_lane,Aux_Lane1_auxiliary_lane,Aux_Lane1_deceleration_lane,Aux_Lane1_no,Aux_Lane2_acceleration_lane,Aux_Lane2_auxiliary_lane,Aux_Lane2_deceleration_lane,Aux_Lane2_no,Aux_Lane3_acceleration_lane,Aux_Lane3_auxiliary_lane,Aux_Lane3_deceleration_lane,Aux_Lane3_no,Pull_Over_Area_no,Pull_Over_Area_yes,count,tti_sipt_adjusted
3,N,54200,15.803,15.803,3,9,3,6,0.0,0.977,3.509,1855.853,-0.004,-0.034,110,14564.079646330723,0.1317824232731232,0,11.317,4.486,0.1898373726507625,0.2838701512371068,0.7161298487628931,0.0005385455930006,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3675470298656727
3,N,54250,15.645,15.645,3,9,3,6,0.0,0.937,3.297,1465.772,-0.005,-0.029,110,14612.0748043218,0.1322679411632458,0,11.411,4.234,0.1917545541706615,0.270629594119527,0.729370405880473,0.0006817692183924,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3786446038741684
3,N,54300,15.67,15.669,3,9,3,6,0.0,0.911,3.355,1627.788,-0.005,-0.03,110,14609.22448560272,0.1322391074060797,0,11.403,4.266,0.1914608462569404,0.2722573233773693,0.7277426766226307,0.0006139534426825,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.377985545247074
3,N,54350,15.799,15.8,3,9,3,6,0.0,0.973,3.437,1598.463,-0.007,-0.032,110,14693.64932351312,0.1330931470819948,0,11.39,4.41,0.1898734177215189,0.2791139240506329,0.720886075949367,0.0006252098360512,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3975064912358364
3,N,54400,15.82,15.819,3,9,3,6,0.0,0.979,3.478,1541.963,-0.008,-0.032,110,14736.587414992857,0.1335275078061538,0,11.362,4.457,0.1896453631708705,0.2817497945508566,0.7182502054491435,0.0006481036810344,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4074347562509977
3,N,54450,15.714,15.715,3,9,3,6,0.0,1.008,3.382,1587.528,-0.01,-0.027,110,14819.757837510391,0.1343688578454395,0,11.325,4.390000000000001,0.1909004136175628,0.2793509385937003,0.7206490614062997,0.0006295136126023,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4266656528213937
3,N,54500,15.663,15.662999999999998,3,9,3,6,0.0,0.919,3.382,1661.565,-0.01,-0.03,110,14818.5796623382,0.1343569394530904,0,11.361999999999998,4.301,0.1915341888527102,0.2745961820851689,0.7254038179148311,0.0006014802428777,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.4263932318790395
3,N,54550,15.702,15.703,3,9,3,6,0.0,1.008,3.288,1478.014,-0.011,-0.03,110,14863.69287304513,0.134813303632226,0,11.407,4.295999999999999,0.1910462968859453,0.2735782971406737,0.7264217028593263,0.0006761261218622,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.436824434015599
3,N,54600,15.593,15.592,3,9,3,6,0.0,0.976,3.311,1666.595,-0.013,-0.032,110,14944.431048074834,0.1356300491130942,0,11.305,4.287,0.1924063622370446,0.2749486916367368,0.7250513083632633,0.0005996659860457,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.455492939552545
3,N,54650,15.596,15.596,3,9,3,6,0.0,0.949,3.141,1563.509,-0.014,-0.031,110,14988.06754072249,0.1360714748470521,0,11.506,4.09,0.1923570146191331,0.2622467299307515,0.7377532700692485,0.0006391781702757,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.465582690829509
